Department,Course Code,Course Name,Credits,Coordinator Name,Instructor name,Segment Name,Course Slot Code,Class Timings,Room No.
Chemistry,CY5250,Chemical Binding and Molecular Symmetry,3.00,Dr. Debasish Koner,"Dr. Arup Mahata, Dr. Debasish Koner",1-6,Q_JAN26-APR26,"Monday-16:00-17:25,Thursday-14:30-15:55",CY-LH-3-Capacity:90
Chemistry,IC4050,Chemical Industrial separation techniques,2.00,Prof. Subrahmanyam Challapalli,Prof. Subrahmanyam Challapalli,1-4,,,
Chemistry,CY1031,Chemistry Laboratory,2.00,Dr. Narendra Kurra,Dr. Narendra Kurra,1-6,AN1_JAN26-APR26,Monday-14:30-17:25,Lab
Chemistry,CY6300,Chemistry of Natural Products and Biomolecule,3.00,Prof. Faiz Ahmed Khan,"Dr. Satyanarayana G, Prof. Faiz Ahmed Khan",1-6,S_JAN26-APR26,"Tuesday-16:00-17:25,Friday-14:30-15:55",CY-LH-1-Capacity:30
Chemistry,CY5133,Computational Methods in Inorganic Chemistry,3.00,Dr. Saurabh Kumar Singh,Dr. Saurabh Kumar Singh,1-6,FN4_JAN26-APR26,Thursday-09:00-12:00,Lab
Chemistry,IC2050,Coordination Chemistry and Study of Transition Metal Complexes,2.00,Dr. Sivakumar Vaidyanathan,Dr. Sivakumar Vaidyanathan,1-4,C_JAN26-APR26,"Wednesday-10:00-10:55,Thursday-09:00-09:55,Monday-11:01-11:55",CY-LH-2-Capacity:40
Chemistry,CY5913,CY5913,3.00,Dr. Debasish Koner,Dr. Debasish Koner,1-6,FN3_JAN26-APR26,Wednesday-09:00-11:55,Lab
Chemistry,CY6340,DNA Nanotechnology and Applications,3.00,Dr. Ashutosh Kumar Mishra,Dr. Ashutosh Kumar Mishra,1-6,F_JAN26-APR26,"Tuesday-11:00-11:55,Friday-10:00-10:55,Wednesday-14:30-15:29",CY-LH-1-Capacity:30
Chemistry,IC2040,Food Technology,2.00,Dr. Krishna Gavvala,Dr. Krishna Gavvala,1-4,S_JAN26-APR26,"Tuesday-16:00-17:25,Friday-14:30-15:55",CY-LH-3-Capacity:90
Chemistry,CY6540,Fundamentals and Applications of Small Molecule X-Ray ,3.00,Dr. Jai Prakash,Dr. Jai Prakash,1-6,Q_JAN26-APR26,"Monday-16:00-17:25,Thursday-14:30-15:55",CY-LH-2-Capacity:40
Chemistry,CY6970,Green and Circular Chemistry,3.00,Dr. Natte Kishore,"Dr. Abhijit Sau, Dr. Natte Kishore",1-6,R_JAN26-APR26,"Tuesday-14:30-15:55,Friday-16:00-17:25",LHC-08-Capacity:120
Chemistry,IC3070,Heterogeneous Catalysis,3.00,Dr. Sudarsanam Putla,Dr. Sudarsanam Putla,1-6,P_JAN26-APR26,"Monday-14:30-15:55,Thursday-16:00-17:25",CY-LH-2-Capacity:40
Chemistry,IC4040,Industrial Pollution and Chemical Industrial safety,3.00,Dr. Tarali Devi,Dr. Tarali Devi,1-6,D_JAN26-APR26,"Monday-12:00-12:55,Tuesday-09:00-09:55,Friday-11:00-11:55",CY-LH-2-Capacity:40
Chemistry,CY5140,Introduction to Optical Materials and their applications,3.00,Dr. Sivakumar Vaidyanathan,Dr. Sivakumar Vaidyanathan,1-6,E_JAN26-APR26,"Tuesday-10:00-10:55,Thursday-12:00-12:55,Friday-09:00-09:55",CY-LH-3-Capacity:90
Chemistry,IC1050,Introduction to Quantum Chemistry,2.00,Dr. Bhabani Shankar Malik,Dr. Bhabani Shankar Malik,1-4,C_JAN26-APR26,"Wednesday-10:00-10:55,Thursday-09:00-09:55,Monday-11:01-11:55",CY-LH-1-Capacity:30
Chemistry,IC1030,Introduction to Systematic Inorganic Chemistry & Applications,3.00,Dr. Ashish Kulkarni,Dr. Ashish Kulkarni,1-6,B_JAN26-APR26,"Monday-10:00-10:55,Wednesday-09:00-09:55,Thursday-11:00-11:55",CY-LH-1-Capacity:30
Chemistry,IC4060,Molecular Spectroscopy,2.00,Prof. C Malla Reddy,Prof. C Malla Reddy,1-4,F_JAN26-APR26,"Tuesday-11:00-11:55,Friday-10:00-10:55,Wednesday-14:30-15:29",CY-LH-3-Capacity:90
Chemistry,CY6016,MSc Project,12.00,Dr. Jai Prakash,Unspecified,1-6,W_JAN26-APR26,"Monday-17:30-18:55,Thursday-17:30-18:55",Project - No Classroom required
Chemistry,CY6330,Organic Electronics and Photonics,3.00,Dr. Venkata Rao Kotagiri,"Dr. Venkata Rao Kotagiri, Prof. Faiz Ahmed Khan, Dr. Satyanarayana G",1-6,P_JAN26-APR26,"Monday-14:30-15:55,Thursday-16:00-17:25",CY-LH-1-Capacity:30
Chemistry,CY6510,Organolanthanide Chemistry,3.00,Dr. Tarun Kanti Panda,Dr. Tarun Kanti Panda,1-6,D_JAN26-APR26,"Monday-12:00-12:55,Tuesday-09:00-09:55,Friday-11:00-11:55",CY-LH-3-Capacity:90
Chemistry,CY5211,Physical Chemistry Practicals,2.00,Dr. M Annadhasan,Dr. M Annadhasan,1-6,FN5_JAN26-APR26,Friday-09:00-11:55,Lab
Chemistry,IC2070,Polymer Science-I,3.00,Dr. Priyadarshi Chakraborty,Dr. Priyadarshi Chakraborty,1-6,A_JAN26-APR26,"Monday-09:00-09:55,Wednesday-11:00-11:55,Thursday-10:00-10:55",CY-LH-2-Capacity:40
Chemistry,CY6590,Safety in Chemical Research,1.00,Dr. Tarali Devi,Dr. Tarali Devi,1-2,F_JAN26-APR26,"Tuesday-11:00-11:55,Friday-10:00-10:55,Wednesday-14:30-15:29",CY-LH-2-Capacity:40
Chemistry,CY5030,Spectroscopy and Applications,3.00,Dr. Venkata Rao Kotagiri,"Dr. Venkata Rao Kotagiri, Dr. Anup Bhunia",1-6,R_JAN26-APR26,"Tuesday-14:30-15:55,Friday-16:00-17:25",CY-LH-3-Capacity:90
Chemistry,IC3040,Spectroscopy and Applications,2.00,Dr. Anup Bhunia,"Dr. Anup Bhunia, Dr. Venkata Rao Kotagiri",1-4,S_JAN26-APR26,"Tuesday-16:00-17:25,Friday-14:30-15:55",CY-LH-2-Capacity:40
Chemistry,CY5230,Statistical Thermodynamics and Surface Science,3.00,Dr. Narendra Kurra,"Dr. Priyadarshi Chakraborty, Dr. Narendra Kurra",1-6,P_JAN26-APR26,"Monday-14:30-15:55,Thursday-16:00-17:25",CY-LH-3-Capacity:90
Chemistry,IC2021,Synthesis and Separation Lab,2.00,Dr. Satyanarayana G,"Prof. Faiz Ahmed Khan, Dr. Satyanarayana G",1-4,FN2_JAN26-APR26,Tuesday-09:00-11:55,Lab
Chemistry,IC1040,Thermodynamics-I,3.00,Dr. Koyel Banerjee Ghosh,Dr. Koyel Banerjee Ghosh,1-6,Q_JAN26-APR26,"Monday-16:00-17:25,Tuesday-10:30-11:55","CY-LH-1-Capacity:30

C-LH-5"
Chemistry,IC2080,Transport Properties,2.00,Dr. Surajit Maity,Dr. Surajit Maity,1-4,E_JAN26-APR26,"Tuesday-10:00-10:55,Thursday-12:00-12:55,Friday-09:00-09:55",CY-LH-2-Capacity:40
Chemistry,IC3405,UG Internship,6.00,Unspecified,Unspecified,1-6,Internship,Internship,Internship - No Classroom required
Civil Engineering,CE6211,Advanced Environmental Lab,2.00,Prof. Asif Qureshi,"Dr. D. V. Sai Praneeth, Prof. Asif Qureshi",1-4,FN1_JAN26-APR26,Monday-09:00-11:55,Self booking by Department
Civil Engineering,CE5300,Advanced Foundation Engineering,3.00,Dr. Sireesh Saride,Dr. Sireesh Saride,1-6,R_JAN26-APR26,"Tuesday-14:30-15:55,Friday-16:00-17:25",Self booking by Department
Civil Engineering,CE6670,Advanced Statistical Methods in Hydrology,3.00,Dr. Maheswaran Rathinasamy,Dr. Maheswaran Rathinasamy,1-6,R_JAN26-APR26,"Tuesday-14:30-15:55,Friday-16:00-17:25",Self booking by Department
Civil Engineering,CE6590,Air Pollution & Control,3.00,Prof. Asif Qureshi,Prof. Asif Qureshi,1-6,R_JAN26-APR26,"Tuesday-14:30-15:55,Friday-16:00-17:25",Self booking by Department
Civil Engineering,CE6740,Analysis and Design of Pavements,3.00,Dr. Ramya Mullapudi,Dr. Ramya Mullapudi,1-6,Q_JAN26-APR26,"Monday-16:00-17:25,Thursday-14:30-15:55",Self booking by Department
Civil Engineering,CE1100,Construction Materials,3.00,Dr. Meenakshi Sharma,Dr. Meenakshi Sharma,1-6,D_JAN26-APR26,"Monday-12:00-12:55,Tuesday-09:00-09:55,Friday-11:00-11:55",Self booking by Department
Civil Engineering,CE3025,Departmental Core Elective(Project),3.00,Unspecified,Unspecified,1-6,Project,Project,Self booking by Department
Civil Engineering,CE5270,Design of Cold-Formed Light Gauge Steel Structures,3.00,Dr. Mahendra Kumar Madhavan,Dr. Mahendra Kumar Madhavan,1-6,,"Monday-12:00-13:25,Thursday-10:30-11:25",Self booking by Department
Civil Engineering,CE5002,Design Studio,3.00,Prof. Subramaniam K V L,Prof. Subramaniam K V L,1-6,FN1_JAN26-APR26,Monday-09:00-11:55,Self booking by Department
Civil Engineering,CE2520,Environmental Systems Engineering II,3.00,Prof. Asif Qureshi,"Dr. D. V. Sai Praneeth, Prof. Asif Qureshi",1-6,E_JAN26-APR26,"Tuesday-10:00-10:55,Thursday-12:00-12:55,Friday-09:00-09:55",Self booking by Department
Civil Engineering,CE6323,Experimental Soil Mechanics,3.00,Dr. Prasanna R,Dr. Prasanna R,1-6,P_JAN26-APR26,"Monday-14:30-15:55,Thursday-16:00-17:25",Self booking by Department
Civil Engineering,CE5200,Finite Element Analysis,3.00,Dr. Amirtham Rajagopal,Dr. Amirtham Rajagopal,1-6,P_JAN26-APR26,"Monday-14:30-15:55,Thursday-16:00-17:25",Self booking by Department
Civil Engineering,CE5131,Finite Element Lab,1.00,Dr. Surendra Nadh Somala,Dr. Surendra Nadh Somala,1-2,FN3_JAN26-APR26,Wednesday-09:00-11:55,Self booking by Department
Civil Engineering,CE3420,Fundamentals of GIS and Remote Sensing,2.00,Dr. Shruti Upadhyaya,Dr. Shruti Upadhyaya,1-4,B_JAN26-APR26,"Monday-10:00-10:55,Wednesday-09:00-09:55,Thursday-11:00-11:55",Self booking by Department
Civil Engineering,CE2300,Geotechnical Engineering,3.00,Dr. Shwetabh Yadav,Dr. Shwetabh Yadav,1-6,D_JAN26-APR26,"Monday-12:00-12:55,Tuesday-09:00-09:55,Friday-11:00-11:55",Self booking by Department
Civil Engineering,CE2301,Geotechnical Engineering Lab,2.00,Prof. Munwar Basha B,"Prof. Munwar Basha B, Dr. Roshan Khan",1-6,AN1_JAN26-APR26,Monday-14:30-17:25,Self booking by Department
Civil Engineering,CE5340,Ground Modification Techniques,3.00,Dr. Umashankar Balunaini,Dr. Umashankar Balunaini,1-6,Q_JAN26-APR26,"Monday-16:00-17:25,Thursday-14:30-15:55",Self booking by Department
Civil Engineering,CE5530,Groundwater Modelling,3.00,Dr. Phanindra K B V N,Dr. Phanindra K B V N,1-6,S_JAN26-APR26,"Tuesday-16:00-17:25,Friday-14:30-15:55",Self booking by Department
Civil Engineering,CE6511,Hydraulic and Hydrologic Simulation Lab,2.00,Dr. Satish Kumar Regonda,Dr. Satish Kumar Regonda,1-6,FN2_JAN26-APR26,Tuesday-09:00-11:55,Self booking by Department
Civil Engineering,CE2410,Hydraulic Engineering,3.00,Dr. Sk Zeeshan Ali,"Dr. Maheswaran Rathinasamy, Dr. Sk Zeeshan Ali",1-6,C_JAN26-APR26,"Wednesday-10:00-10:55,Thursday-09:00-09:55,Monday-11:01-11:55",Self booking by Department
Civil Engineering,CE6230,Industrial & Hazardous Waste Management,3.00,Dr. Shashidhar T,Dr. Shashidhar T,1-6,P_JAN26-APR26,"Monday-14:30-15:55,Thursday-16:00-17:25",Self booking by Department
Civil Engineering,CE5106,Industrial Seminar,1.00,Prof. Munwar Basha B,Prof. Munwar Basha B,1-6,Seminar,Seminar,Self booking by Department
Civil Engineering,CE5320,Introduction to Railway Engineering,1.00,Dr. Roshan Khan,Dr. Roshan Khan,5-6,S_JAN26-APR26,"Tuesday-16:00-17:25,Friday-14:30-15:55",Self booking by Department
Civil Engineering,CE5900,Machine Learning and Scientific Computing for Civil Engineers,3.00,Dr. Biswarup Bhattacharyya,Dr. Biswarup Bhattacharyya,1-6,R_JAN26-APR26,"Tuesday-14:30-15:55,Friday-16:00-17:25",Self booking by Department
Civil Engineering,CE6025,Masters Thesis,15.00,Unspecified,Unspecified,1-6,Thesis,Thesis,Self booking by Department
Civil Engineering,CE6035,Masters Thesis,10.00,Unspecified,Unspecified,1-6,Thesis,Thesis,Self booking by Department
Civil Engineering,CE6045,Masters Thesis,10.00,Unspecified,Unspecified,1-6,Thesis,Thesis,Self booking by Department
Civil Engineering,CE5510,Open-Channel Hydraulics and Sediment Transport,3.00,Dr. Sk Zeeshan Ali,Dr. Sk Zeeshan Ali,1-6,Q_JAN26-APR26,"Monday-16:00-17:25,Thursday-14:30-15:55",Self booking by Department
Civil Engineering,CE6721,Pavement Materials Lab,3.00,Dr. Ramya Mullapudi,Dr. Ramya Mullapudi,1-6,FN3_JAN26-APR26,Wednesday-09:00-11:55,Self booking by Department
Civil Engineering,CE6210,Physicochemical Processes in Water and Wastewater ,3.00,Dr. Ambika S,Dr. Ambika S,1-6,Q_JAN26-APR26,"Monday-16:00-17:25,Thursday-14:30-15:55",Self booking by Department
Civil Engineering,CE6222,Prestressed Concrete Design,3.00,Dr. Suriya Prakash S,Dr. Suriya Prakash S,1-6,S_JAN26-APR26,"Tuesday-16:00-17:25,Friday-14:30-15:55",Self booking by Department
Civil Engineering,CE4925,Project,8.00,Unspecified,Unspecified,1-6,Project,Project,Self booking by Department
Civil Engineering,CE6610,Remote Sensing & GIS Applications to Civil Engineering,3.00,Dr. Shruti Upadhyaya,"Dr. Shruti Upadhyaya, Dr. Satish Kumar Regonda",1-6,B_JAN26-APR26,"Monday-10:00-10:55,Wednesday-09:00-09:55,Thursday-11:00-11:55",Self booking by Department
Civil Engineering,CE3011,Remote Sensing and GIS Lab,1.00,Dr. Shruti Upadhyaya,Dr. Shruti Upadhyaya,5-6,FN5_JAN26-APR26,Friday-09:00-11:55,Self booking by Department
Civil Engineering,CE5206,Research Methodology,1.00,Dr. Seetha N,Dr. Seetha N,3-4,CE5206_JAN26-APR26,"Monday-12:00-12:55,Thursday-12:00-12:55,Friday-09:00-09:55",Self booking by Department
Civil Engineering,CE3405,Semester Internship,6.00,Unspecified,Unspecified,1-6,Internship,Internship,Self booking by Department
Civil Engineering,CE2140,Structural Analysis,3.00,Dr. Biswarup Bhattacharyya,Dr. Biswarup Bhattacharyya,1-6,F_JAN26-APR26,"Tuesday-11:00-11:55,Friday-10:00-10:55,Wednesday-14:30-15:29",Self booking by Department
Civil Engineering,CE5140,Structural Dynamics,3.00,Dr. Sourav Das,Dr. Sourav Das,1-6,CE5140_JAN26-APR26,"Tuesday-10:01-11:29,Friday-10:01-11:29",Self booking by Department
Civil Engineering,CE2111,Structural Mechanics Lab,2.00,Dr. Surendra Nadh Somala,Dr. Surendra Nadh Somala,1-4,AN4_JAN26-APR26,Thursday-14:30-17:25,Self booking by Department
Civil Engineering,CE2920,Surveying,3.00,Dr. Subhojit Kadia,Dr. Subhojit Kadia,1-6,G_JAN26-APR26,"Tuesday-12:00-12:55,Wednesday-12:00-12:55,Friday-12:00-12:55",Self booking by Department
Civil Engineering,CE6750,Traffic Management and Design,3.00,Dr. Digvijay S Pawar,Dr. Digvijay S Pawar,1-6,R_JAN26-APR26,"Tuesday-14:30-15:55,Friday-16:00-17:25",Self booking by Department
Climate Change,CC5533,Advanced Computing in Climate Change,1.00,Dr. Niranjan Shrinivas Ghaisas,Dr. Niranjan Shrinivas Ghaisas,1-2,D_JAN26-APR26,"Monday-12:00-12:55,Tuesday-09:00-09:55,Friday-11:00-11:55",B-Class Room 105-Capacity:32
Climate Change,CC5330,Climate change and Health,2.00,Dr. Anindita Majumdar,"Dr. Anindita Majumdar, Prof. Asif Qureshi",3-6,E_JAN26-APR26,"Tuesday-10:00-10:55,Thursday-12:00-12:55,Friday-09:00-09:55", LHC-12-Capacity:200
Climate Change,CC5001,Climate Instrumentation Lab,1.00,Dr. Jalihal Chetankumar Adappa,Dr. Jalihal Chetankumar Adappa,3-6,A_JAN26-APR26,"Monday-09:00-09:55,Wednesday-11:00-11:55,Thursday-10:00-10:55",Lab
Climate Change,CC5223,Climate Change Mitigation and Adaptation,2.00,Dr. Ambika S,Dr. Ambika S,1-4,P_JAN26-APR26,"Monday-14:30-15:55,Thursday-16:00-17:25",B-Class Room 105-Capacity:32
Climate Change,CC6210,Climate Modeling,2.00,Dr. Jalihal Chetankumar Adappa,Dr. Jalihal Chetankumar Adappa,1-4,F_JAN26-APR26,"Tuesday-11:00-11:55,Friday-10:00-10:55,Wednesday-14:30-15:29",B-Class Room 105-Capacity:32
Climate Change,CC5300.,"Critical Reading of IPCC REPORT: Impacts, Adaptation and ",1.00,Dr. Sayak Banerjee.,Dr. Sayak Banerjee.,5-6,C_JAN26-APR26,"Monday-11:01-11:55,
Wednesday-10:00-10:55,
Thursday-09:00-09:55.",B-Class Room 105-Capacity:32
Climate Change,CC5240,Data Modeling in Atmospheric Sciences,2.00,Dr. Shruti Upadhyaya,"Dr. Shruti Upadhyaya, Dr. Anamitra Saha",3-6,Q_JAN26-APR26,"Monday-16:00-17:25,Thursday-14:30-15:55",B-Class Room 105-Capacity:32
Climate Change,CC6080,High Performance Computing in Weather Research and ,1.00,Dr. Niranjan Shrinivas Ghaisas,Dr. Niranjan Shrinivas Ghaisas,3-4,D_JAN26-APR26,"Monday-12:00-12:55,Tuesday-09:00-09:55,Friday-11:00-11:55",B-Class Room 105-Capacity:32
Climate Change,CC5340,Hydrometeorological Forecasting,2.00,Dr. Maheswaran Rathinasamy,Dr. Maheswaran Rathinasamy,3-6,G_JAN26-APR26,"Tuesday-12:00-12:55,Wednesday-12:00-12:55,Friday-12:00-12:55",B-Class Room 105-Capacity:32
